experiment,mouse_id,organ,sample,treatment,PC1,PC2
EAE3,1,SC-dLN ex vivo restim,PBS_mouse no 1,PBS,2.202349698176112,-2.114631155002516
EAE3,2,SC-dLN ex vivo restim,PBS_mouse no 6,PBS,1.2772514175980791,2.708440680734568
EAE3,3,SC-dLN ex vivo restim,PBS_mouse no 11,PBS,3.874660323904536,0.3345711300025195
EAE3,4,SC-dLN ex vivo restim,PBS_mouse no 16,PBS,5.8628084883150136,-0.4188847664553106
EAE3,5,SC-dLN ex vivo restim,PBS_mouse no 21,PBS,2.3611494007942584,3.300441857733499
EAE3,6,SC-dLN ex vivo restim,PBS_mouse no 26,PBS,0.9994965056127916,0.5186192356570641
EAE3,7,SC-dLN ex vivo restim,PBS_mouse no 31,PBS,2.8571972682429156,-0.4506248420871919
EAE3,8,SC-dLN ex vivo restim,PBS_mouse no 36,PBS,8.099739285014152,-3.9053718338911745
EAE3,2,SC-dLN ex vivo restim,SA IL-33_mouse no 8,SA IL-33,-3.789769335559281,-1.428087343487212
EAE3,3,SC-dLN ex vivo restim,SA IL-33_mouse no 12,SA IL-33,-3.3560684039591875,-2.830947020291474
EAE3,4,SC-dLN ex vivo restim,SA IL-33_mouse no 17,SA IL-33,-3.858729947669024,-1.0630216474045042
EAE3,5,SC-dLN ex vivo restim,SA IL-33_mouse no 22,SA IL-33,-2.3937398997059796,-2.6221074166979883
EAE3,6,SC-dLN ex vivo restim,SA IL-33_mouse no 27,SA IL-33,-3.451571034045636,-1.5103741786452378
EAE3,7,SC-dLN ex vivo restim,SA IL-33_mouse no 32,SA IL-33,-2.68308389841238,-2.7967678289643763
EAE3,8,SC-dLN ex vivo restim,SA IL-33_mouse no 37,SA IL-33,-0.7888955067451867,-3.232934285364172
EAE3,1,SC-dLN ex vivo restim,FTY 720_mouse no 5,FTY 720,-1.6798814977136347,1.5518435229910983
EAE3,2,SC-dLN ex vivo restim,FTY 720_mouse no 10,FTY 720,-2.6007489124768064,2.2641514253743416
EAE3,3,SC-dLN ex vivo restim,FTY 720_mouse no 15,FTY 720,-1.8021512641782076,1.5535528212481182
EAE3,4,SC-dLN ex vivo restim,FTY 720_mouse no 20,FTY 720,-1.7044085351715883,2.1060525693456738
EAE3,5,SC-dLN ex vivo restim,FTY 720_mouse no 25,FTY 720,2.6581726669947754,2.1044963820226896
EAE3,6,SC-dLN ex vivo restim,FTY 720_mouse no 30,FTY 720,-1.3952204793602674,2.23383724083598
EAE3,7,SC-dLN ex vivo restim,FTY 720_mouse no 35,FTY 720,0.11386972343477875,1.94420890844221
EAE3,8,SC-dLN ex vivo restim,FTY 720_mouse no 40,FTY 720,-0.8024260630902316,1.7535365439033883
