experiment,mouse_id,sample,treatment,PC1,PC2
EAE6,2,PBS_mouse no 3,PBS,2.102025347659291,1.0437002445940353
EAE6,3,PBS_mouse no 5,PBS,3.017731524515571,2.490506052237183
EAE6,4,PBS_mouse no 10,PBS,6.8191696397111805,5.939262689429237
EAE6,5,PBS_mouse no 11,PBS,6.505793881782841,5.503162442034697
EAE6,6,PBS_mouse no 12,PBS,2.66725058783149,1.8557494006494006
EAE6,8,PBS_mouse no 19,PBS,2.7783190672890967,0.6464946561049685
EAE6,9,PBS_mouse no 21,PBS,2.669362108088236,0.941468627430668
EAE6,10,PBS_mouse no 24,PBS,0.636011383818777,-1.5105073402458067
EAE6,11,PBS_mouse no 28,PBS,5.965157658132577,1.8602192597622924
EAE6,12,PBS_mouse no 34,PBS,2.2674132961974403,1.4049184150360776
EAE6,1,SA IL-33_mouse no 2,SA IL-33,-3.736814847866144,1.018322291892675
EAE6,2,SA IL-33_mouse no 4,SA IL-33,-5.438951622835354,0.6608332765663376
EAE6,3,SA IL-33_mouse no 7,SA IL-33,-2.7291555387720154,-0.050770886252358115
EAE6,4,SA IL-33_mouse no 9,SA IL-33,-3.161015979651177,0.29863213995662785
EAE6,5,SA IL-33_mouse no 14,SA IL-33,-3.8005540223333147,2.430471723009062
EAE6,6,SA IL-33_mouse no 15,SA IL-33,-5.543772414689072,3.866650567754607
EAE6,7,SA IL-33_mouse no 18,SA IL-33,-4.887457633993429,2.2213669037428487
EAE6,8,SA IL-33_mouse no 23,SA IL-33,-4.699237508147214,1.9612197037780525
EAE6,9,SA IL-33_mouse no 25,SA IL-33,-4.812476564741933,0.940348406372865
EAE6,10,SA IL-33_mouse no 32,SA IL-33,-5.06148539797036,1.4624070071850621
EAE6,11,SA IL-33_mouse no 33,SA IL-33,-2.681069848368403,1.718621288201391
EAE6,12,SA IL-33_mouse no 35,SA IL-33,-1.8450183325841256,0.6261439159819165
EAE6,1,FTY 720_mouse no 6,FTY 720,1.2380922466307662,-3.178294461106528
EAE6,2,FTY 720_mouse no 8,FTY 720,0.8665530586937464,-3.086090019660217
EAE6,3,FTY 720_mouse no 16,FTY 720,0.4386234191523373,-3.4840066209055456
EAE6,5,FTY 720_mouse no 20,FTY 720,1.9589994895814322,-3.800621069801027
EAE6,6,FTY 720_mouse no 22,FTY 720,1.5401355613211347,-3.4973193132075067
EAE6,7,FTY 720_mouse no 26,FTY 720,1.0009692920113007,-2.8629214655255195
EAE6,9,FTY 720_mouse no 29,FTY 720,1.9316874225765053,-2.5767551046953816
EAE6,10,FTY 720_mouse no 30,FTY 720,0.8007552733757507,-2.805638218578006
EAE6,11,FTY 720_mouse no 31,FTY 720,-1.274035264934695,-3.064375334961609
EAE6,12,FTY 720_mouse no 36,FTY 720,1.7070596009224959,-2.810084522201751
